Departure_Date,Group_Number,Pre-order_Date,Sex,Age,Region,Pre-order_Count,Has_NaN_Sex,Has_NaN_Age,Has_NaN_Residence,Is_Female,Is_30s,Is_China,quantity,sales,engaged,Sales_in_real,Quantity_in_real,Diff_Dep_Pre
2024-06-09,1,2024-05-28,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,12
2024-06-09,1,2024-06-03,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-09,1,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-09,1,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-09,1,2024-06-02,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,8097.0,7.0,7
2024-06-09,2,2024-06-07,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,8600.0,2.0,2
2024-06-09,3,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,15526.0,9.0,5
2024-06-09,2,2024-06-03,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-09,2,2024-06-08,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,7000.0,1.0,1
2024-06-09,1,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,26290.0,15.0,2
2024-06-09,3,2024-06-05,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2024-06-09,2,2024-06-06,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,3738.0,5.0,3
2024-06-09,1,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-09,3,2024-06-08,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-09,3,2024-06-07,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,11640.0,2.0,2
2024-06-09,3,2024-06-08,,,,2.0,1,1,1,0,0,0,0.0,0.0,0.0,75200.0,15.0,1
2024-06-09,2,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,2800.0,4.0,2
2024-06-09,2,2024-06-07,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,2788.0,3.0,2
2024-06-10,1,2024-06-08,Female,30s,Other,5.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,2,2024-06-08,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,1,2024-06-08,Female,30s,China,1.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,3,2024-05-31,Male,30s,Other,5.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10
2024-06-10,2,2024-06-08,Female,30s,China,3.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,1,2024-05-24,Male,30s,Other,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17
2024-06-10,2,2024-06-08,Male,60s,Japan,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,1,2024-06-09,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2024-06-10,2,2024-06-07,,,,5.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2024-06-10,2,2024-06-04,,,,1.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2024-06-10,1,2024-06-08,,,,3.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2024-06-10,3,2024-06-09,Female,30s,Japan,25.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1
